Escolas_Postos,BAIRRO,ENDEREÇO ,lat,long
EM PROFESSOR JOSUE DE CASTRO,BONSUCESSO,Av. Brasil 4040 Rua da Vitória,-22.873739,-43.240712
EM TENENTE ANTONIO JOAO,FUNDÃO,Avenida Brigadeiro Trompowski S/N°,-22.859893,-43.21873
EM ABEILARD FEIJÓ,CACUIA,Estrada da Cacuiá 1386,-22.807692,-43.181558
ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,"Rua Serenata, 40",-22.812441,-43.209658
EM ANITA GARIBALDI,GALEÃO,Estrada de Maracajá 1294,-22.815859,-43.225967
EM BELMIRO MEDEIROS,MONERÓ,R. Pizarro de Araújo,-22.798529,-43.19944
EM CUBA,ZUMBI,"Praia do Zumbi, 25",-22.8212,-43.173899
EM. GURGEL DO AMARAL,PORTUGUESA,Rua Gustavo Augusto de Resende 541,-22.799352,-43.207155
EM JORNALISTA ORLANDO DANTAS,BANCÁRIOS,"Rua Benedito Patrício, 248",-22.791119,-43.182416
EM ROTARY,FREGUESIA (ILHA DO GOVERNADOR),Av. Paranapuam 204,-22.794401,-43.173169
EM ALEXANDRE FARAH,RICARDO DE ALBUQUERQUE,Praça Vicente de Oliveira e Silva 214,-22.835959,-43.396572
E.M. ANDREA FONTES PEIXOTO,PARQUE COLÚMBIA,Rua Fausto e Castro S/Nº,-22.81631,-43.340149
EM DEPUTADO HILTON GAMA,PAVUNA,"Praça Ênio, S/Nº",-22.807806,-43.357756
EM GENERAL OSÓRIO,COELHO NETO,Avenida Brasil 19.462,-22.829025,-43.346603
EM GRANDJEAN DE MONTIGNY,PAVUNA,"Praça dos Ucranianos, S/Nº",-22.81389,-43.373926
EM MARIO PIRAGIBE,ANCHIETA,"Praça Nossa Senhora Das Dores, S/Nº",-22.825581,-43.392076
EM MAX FLEIUSS,PAVUNA, ,-22.808779,-43.37045
ESCOLA MUNICIPAL PARAIBA,ANCHIETA,Estrada Marechal Alencastro 4.035,-22.826363,-43.402883
E.M. PIAUI,GUADALUPE,Avenida Brasil 23.364,-22.845415,-43.37852
EM ROSE KLABIN,GUADALUPE,Rua Reginópolis 135,-22.846549,-43.372466
EM THOMAS JEFFERSON,ACARI,Avenida Pastor Martin Luther King Jr S/Nº,-22.81631,-43.340149
EM FERNANDO RODRIGUES DA SILVEIRA,COSTA BARROS,Rua José Da Cruz Rajo s/n°,-22.82702,-43.370807
E.M. ASPIRANTE CARLOS ALFREDO,TURIAÇÚ,Rua Ibia 105,-22.860846,-43.34455
EM ASTOLFO RESENDE,MADUREIRA,"Av. Min. Edgard Romero, 473",-22.866341,-43.334775
EM AZEVEDO JUNIOR,CASCADURA,Rua Silva Gomes 55,-22.880376,-43.327344
EM BARÃO DO AMPARO,CAMPINHO,Rua Ana Teles 30,-22.883482,-43.353606
ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,Rua Agostinho Barbalho 401,-22.876082,-43.343369
EM CECILIA MEIRELES,VILA KOSMOS,"R. Sd. Servino Mengarda, 260",-22.84944,-43.303787
EM ESPÍRITO SANTO,CAVALCANTI,"Rua Herculano Pena, s/n",-22.874299,-43.314719
EM EVANGELINA DUARTE BATISTA,MARECHAL HERMES,Pça. 15 De Novembro 28,-22.862986,-43.372858
EM FRANCISCO SERTORIO PORTINHO,IRAJÁ,Rua Amâncio Bezerra 49,-22.829812,-43.327179
ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,"Av. Braz de Pina, 1614",-22.83783,-43.312536
EM HAITI,QUINTINO BOCAIUVA,Rua Duarte Teixeira 45,-22.88922,-43.321174
EM MARIO PENA DA ROCHA,HONÓRIO GURGEL,Rua Americo Rocha / Rua Tacaratu,-22.849812,-43.358916
EM MATO GROSSO,IRAJÁ,"Rua Miranda e Brito, 119",-22.842919,-43.326192
EM MOZART LAGO,OSWALDO CRUZ,Rua José Carvalho Salgado S/N.º,-22.872211,-43.350334
EM OLÍMPIA DO COUTO,IRAJÁ,"R. Canudos, s/n",-22.823393,-43.334493
E.M. PARA,ROCHA MIRANDA,Av. Dos Italianos 500,-22.851963,-43.34949
EM PARANÁ,CASCADURA,Av. Ernani Cardoso 316,-22.882408,-43.338111
